yil,nufus,ortalama buyume hizi,kent nufus orani ,koy nufus orani
1935,16158018,722,235,765
1940,17820950,500,244,756
1945,18790174,391,249,751
1950,20947188,474,250,750
1955,24064763,474,288,712
1960,27754820,585,319,681
1965,31391421,585,344,656
1970,35605176,367,385,615
1975,40347719,367,418,582
1980,44736957,509,439,561
1985,50664458,509,530,470
1990,56473035,318,590,410
1995,62865574,318,590,410
2000,67803927,569,649,351
2005,70586256,569,705,295
2010,73722988,529,705,295
2015,78741053,529,918,82
2020,83614362,529,930,70

